code_insee,commune,region,population_2023,part_65_plus_pct,revenu_median_uc,loyer_m2,nb_audioprothesistes_2022,nb_audioprothesistes_2026,nb_orl_liberaux_2026,lat,lon,dist_audio_km,score_v2,sans_audio_5k,prioritaire_v2,apl,equipee
24053,Boulazac Isle Manoire,75 - Nouvelle-Aquitaine,10759,24.23,26190.0,10.8463850266223,0.0,4,0,45.13937984732825,0.7849286259541984,0.0,28858.53110746626,False,False,88.43084503556332,1
24138,Coulounieix-Chamiers,75 - Nouvelle-Aquitaine,7832,28.96,24790.0,10.2657116733927,0.0,0,0,45.16735984375,0.68757171875,3.4,30937.61315289881,True,False,89.60252351035648,0
24294,Montpon-Ménestérol,75 - Nouvelle-Aquitaine,5866,35.37,22880.0,10.5905459864471,0.0,2,0,45.02090650684932,0.1502536301369863,0.0,31064.91120711471,False,False,44.25210002651506,1
25057,Bethoncourt,27 - Bourgogne-Franche-Comté,5308,22.47,19780.0,9.04334284397641,0.0,0,0,47.538828108108106,6.799508918918919,2.4,31799.260489071134,True,True,74.24198554963921,0
25284,Grand-Charmont,27 - Bourgogne-Franche-Comté,5873,21.07,21070.0,10.038508035545,0.0,0,0,47.53225518518519,6.8249466666666665,2.0,31043.397685173404,True,False,77.33049842030867,0
25321,Villers-le-Lac,27 - Bourgogne-Franche-Comté,5292,15.22,42410.0,14.703384200636,0.0,0,0,47.07250862068965,6.690594741379309,5.1,33152.45810237482,True,True,49.67124327226464,0
25580,Valentigney,27 - Bourgogne-Franche-Comté,10501,22.14,21950.0,9.97400454999752,0.0,0,0,47.46271146341464,6.827011707317074,2.7,31104.16350121379,True,False,66.92682054543948,0
26057,Bourg-de-Péage,84 - Auvergne-Rhône-Alpes,9921,23.73,24010.0,10.5572885854411,0.0,2,1,45.020890882352944,5.053565882352941,0.0,30119.06019844978,False,False,102.881716391246,1
26064,Chabeuil,84 - Auvergne-Rhône-Alpes,6833,23.11,28090.0,10.0618026583999,0.0,2,0,44.902031028037385,5.013974392523363,0.0,29544.890966342213,False,False,110.51381798657762,1
26116,Donzère,84 - Auvergne-Rhône-Alpes,6008,16.87,24210.0,9.81442700092517,0.0,0,0,44.431201774193546,4.703979354838711,7.6,31604.2192066224,True,False,60.83828779995807,0
