rang,commune,region,population,part_65_plus_pct,nb_audioprothesistes_2022,score,desert_5000,prioritaire
3091,Grenay,32 - Hauts-de-France,6851,12.2,0,38367.8602722908,True,True
3092,Gerzat,84 - Auvergne-Rhône-Alpes,10315,19.6,0,38367.69943063726,True,True
3093,Charny,27 - Bourgogne-Franche-Comté,34,51.4,0,38367.55736477683,False,False
3094,Léobard,76 - Occitanie,205,29.5,0,38367.49229064164,False,False
3095,Folschviller,44 - Grand Est,3945,20.4,0,38366.381477811745,False,False
3096,Casseneuil,75 - Nouvelle-Aquitaine,2411,27.4,0,38366.36641417461,False,False
3097,Villaines-la-Juhel,52 - Pays de la Loire,2761,33.5,1,38366.312588255714,False,False
3098,Miradoux,76 - Occitanie,513,33.0,0,38366.26993683054,False,False
3099,La Trinité-sur-Mer,53 - Bretagne,1612,43.9,0,38366.24934735764,False,False
3100,Arles,93 - Provence-Alpes-Côte d'Azur,51031,24.6,9,38366.15686911313,False,False
3101,Saint-Calais,52 - Pays de la Loire,3245,35.7,2,38365.96767081441,False,False
3102,Queaux,75 - Nouvelle-Aquitaine,542,30.4,0,38365.7414881443,False,False
3103,Anjouin,24 - Centre-Val de Loire,327,32.4,0,38365.693256566454,False,False
3104,Épargnes,75 - Nouvelle-Aquitaine,854,30.4,0,38365.58296470161,False,False
3105,Surin,75 - Nouvelle-Aquitaine,650,35.4,0,38365.477635882744,False,False
3106,Saint-Quay-Portrieux,53 - Bretagne,3059,45.5,1,38365.19133943779,False,False
