code_insee,commune,region,population_2023,part_65_plus_pct,revenu_median_uc,loyer_m2,nb_audioprothesistes_2022,nb_audioprothesistes_2026,nb_orl_liberaux_2026,lat,lon,dist_audio_km,score_v2,sans_audio_5k,prioritaire_v2,apl,rang
56169,,53 - Bretagne,5400,32.32,27360.0,12.8476272083806,,0,0,47.69615810810811,-3.22617,5.1,32370.1175430279,True,True,89.48256015216248,107
06065,La Gaude,93 - Provence-Alpes-Côte d'Azur,7265,24.81,32490.0,17.8310878204013,0.0,0,0,43.71735210526316,7.154555789473685,4.2,32353.751514457857,True,True,75.6393418360852,108
57751,Woippy,44 - Grand Est,14967,15.65,19490.0,12.9373234767738,0.0,0,0,49.16214721311475,6.159143278688526,4.5,32338.22801302364,True,True,74.03698321172631,109
84088,Pernes-les-Fontaines,93 - Provence-Alpes-Côte d'Azur,10504,23.81,27370.0,12.2268432994418,1.0,0,0,43.98971329896907,5.046392577319588,7.1,32317.062777563424,True,True,93.8029353108186,110
97128,Sainte-Anne,01 - Guadeloupe,23973,21.38,,15.8548743554115,0.0,0,0,16.254644493670888,-61.39598449367088,7.9,32290.812204862752,True,True,17.44833785488163,111
84122,Sarrians,93 - Provence-Alpes-Côte d'Azur,5792,23.55,24730.0,10.7942227805776,0.0,0,0,44.10377342857144,4.953663571428572,8.0,32276.995684075428,True,True,82.26155367175588,112
58303,Varennes-Vauzelles,27 - Bourgogne-Franche-Comté,9146,33.7,25060.0,9.73409234699625,0.0,0,0,47.03813544554456,3.139440594059406,5.8,32276.75998525803,True,True,70.23624910999648,113
67411,Rosheim,44 - Grand Est,5457,23.59,30420.0,14.4234992880453,0.0,0,0,48.49093137931033,7.411685603448275,5.6,32268.787446445174,True,True,74.21357402887296,114
84056,Jonquières,93 - Provence-Alpes-Côte d'Azur,5201,20.79,24920.0,11.2503267366789,0.0,0,0,44.12940728571429,4.9116484285714295,8.8,32266.571541880043,True,True,87.33195945437615,115
74164,Marignier,84 - Auvergne-Rhône-Alpes,6507,18.53,30540.0,14.1404109480877,1.0,0,0,46.10009368421053,6.491690877192982,6.8,32252.76255645357,True,True,90.29543053668266,116
59291,Hautmont,32 - Hauts-de-France,14152,17.99,18300.0,10.1539706037429,0.0,0,0,50.245746935483865,3.9188425806451614,2.9,32250.718068762155,True,True,56.14806661805631,117
