code_insee,commune,region,population_2023,part_65_plus_pct,revenu_median_uc,loyer_m2,nb_audioprothesistes_2022,nb_audioprothesistes_2026,nb_orl_liberaux_2026,lat,lon,dist_audio_km,score_v2,sans_audio_5k,prioritaire_v2,apl
33004,Ambès,75 - Nouvelle-Aquitaine,3313,17.02,22580.0,11.0224184958441,0.0,0,0,45.009441162790694,-0.544183488372093,7.1,32116.28585905029,False,False,96.12522079196232
33005,Andernos-les-Bains,75 - Nouvelle-Aquitaine,12710,40.78,30760.0,15.1237539963953,3.0,6,0,44.751117407407406,-1.0889492592592591,0.0,30963.33810884635,False,False,137.699351645905
33006,Anglade,75 - Nouvelle-Aquitaine,887,22.97,22830.0,11.3213614519327,0.0,0,0,45.20983191489362,-0.6364768085106384,7.5,32773.870623793846,False,False,48.89173930176455
33007,Arbanats,75 - Nouvelle-Aquitaine,1357,15.83,27780.0,12.3151248640145,0.0,0,0,44.67160148148147,-0.39896851851851844,4.4,30455.704350904358,False,False,100.17708735315989
33008,,75 - Nouvelle-Aquitaine,602,19.97,24880.0,11.9132387949132,,0,0,44.670601399999995,-0.2574746,5.9,31049.32198063417,False,False,86.29189254329195
33009,Arcachon,75 - Nouvelle-Aquitaine,11092,53.4,31420.0,17.1797679737347,4.0,7,0,44.6544525925926,-1.172872222222222,0.0,32122.673454818403,False,False,159.10338604178514
33010,Arcins,75 - Nouvelle-Aquitaine,540,12.42,27760.0,12.7998827050241,0.0,0,0,45.07559711111112,-0.7114864444444445,7.5,31372.834729429982,False,False,77.86156180564763
33011,Arès,75 - Nouvelle-Aquitaine,6482,38.15,28570.0,14.6374568354795,1.0,7,3,44.7841956923077,-1.0973064615384613,0.0,30657.19905152559,False,False,121.68205048522022
33012,Arsac,75 - Nouvelle-Aquitaine,4124,21.32,30200.0,12.4065363154161,0.0,1,0,44.99540210526316,-0.6942684210526315,0.0,30154.216553632563,False,False,93.48270926889623
33013,Artigues-près-Bordeaux,75 - Nouvelle-Aquitaine,8687,18.6,27450.0,13.9916799023594,1.0,1,0,44.858953823529404,-0.4902864705882352,0.0,30390.209539619045,False,False,123.354134635154
33014,Les Artigues-de-Lussac,75 - Nouvelle-Aquitaine,1119,18.66,25880.0,10.4324642704022,0.0,0,0,44.97071255813953,-0.1338139534883721,7.7,31653.93618160838,False,False,54.20852950982274
33015,Arveyres,75 - Nouvelle-Aquitaine,2056,22.69,27980.0,13.0915142664563,0.0,0,0,44.88651478873239,-0.2823543661971832,3.6,30899.33672277417,False,False,91.0270091413852
33016,Asques,75 - Nouvelle-Aquitaine,440,23.7,26810.0,11.3253287295282,0.0,0,0,44.9489590625,-0.4241253125,3.1,30509.883185194994,False,False,110.35295633954816
33017,,75 - Nouvelle-Aquitaine,317,22.76,27160.0,12.3255700306526,,0,0,44.47236735294118,-0.2455764705882353,4.0,30884.616987421858,False,False,72.58836035893324
33018,Val de Virvée,75 - Nouvelle-Aquitaine,3793,16.56,26060.0,10.7503696120175,0.0,1,0,45.021774588235296,-0.3853749411764706,0.0,28858.705385119763,False,False,73.49462072941563
33019,Audenge,75 - Nouvelle-Aquitaine,9596,21.97,27500.0,13.3509546621213,1.0,3,0,44.70084174418604,-0.9924881395348838,0.0,29275.09064796356,False,False,132.91788093402207
33020,Auriolles,75 - Nouvelle-Aquitaine,136,20.44,21390.0,9.05715780727872,0.0,0,0,44.73511054054054,0.043367567567567565,10.2,34047.011012940035,False,False,60.73826656289077
33021,Auros,75 - Nouvelle-Aquitaine,1072,25.43,23770.0,9.62124826404083,0.0,0,0,44.50604837499999,-0.15928225000000001,7.4,32515.932895499784,False,False,95.7555761568675
33022,Avensan,75 - Nouvelle-Aquitaine,3140,16.01,27450.0,12.4065363154161,0.0,0,0,45.016024210526304,-0.7561084210526313,4.3,30396.536102544822,False,False,78.55074077583748
33023,Ayguemorte-les-Graves,75 - Nouvelle-Aquitaine,1425,16.18,29360.0,14.165277038546,0.0,1,0,44.70222648648649,-0.48460027027027036,0.0,29025.01552449212,False,False,101.94170402432954
33024,Bagas,75 - Nouvelle-Aquitaine,283,18.12,25040.0,9.64134525645244,0.0,0,0,44.61916294117647,-0.048688823529411764,3.8,29858.94424148371,False,False,80.31660156105974
33025,Baigneaux,75 - Nouvelle-Aquitaine,451,13.54,25650.0,11.9132387949132,0.0,0,0,44.72451099999999,-0.19106125000000002,9.5,31901.11027134889,False,False,69.3244553154396
33026,Balizac,75 - Nouvelle-Aquitaine,520,17.88,25940.0,12.3255700306526,0.0,0,0,44.48461979591838,-0.450204387755102,16.4,35163.80271019241,False,False,51.947861363685064
33027,Barie,75 - Nouvelle-Aquitaine,274,23.38,23300.0,9.62124826404083,0.0,0,0,44.571222432432435,-0.11475108108108109,5.9,31893.07231671435,False,False,79.00649046605736
33028,Baron,75 - Nouvelle-Aquitaine,1218,16.78,27900.0,13.0915142664563,0.0,0,0,44.82445083333332,-0.31792145833333335,6.3,31370.732324119977,False,False,95.51659402359203
33029,Le Barp,75 - Nouvelle-Aquitaine,5806,13.58,28560.0,12.7231261701006,0.0,0,0,44.62681177419356,-0.7692854838709678,10.2,32722.60436333224,True,True,84.29207612711222
33030,Barsac,75 - Nouvelle-Aquitaine,2058,19.99,25170.0,10.7908879740434,0.0,0,0,44.60108520000001,-0.323469,3.4,29978.784961418343,False,False,92.09659373260563
33031,Bassanne,75 - Nouvelle-Aquitaine,131,12.98,25340.0,10.5596754112263,0.0,0,0,44.55913153846154,-0.09149653846153846,4.9,29881.15294880974,False,False,75.3064923111697
33032,Bassens,75 - Nouvelle-Aquitaine,8435,18.51,23860.0,13.0657178093005,0.0,0,0,44.908065121951225,-0.5229478048780488,1.7,29736.323687960554,True,False,124.79563968230609
33033,Baurech,75 - Nouvelle-Aquitaine,907,16.66,29320.0,11.5829375343224,0.0,0,0,44.73050369565218,-0.4311439130434782,5.2,31061.58483443286,False,False,109.55162206758884
33034,Bayas,75 - Nouvelle-Aquitaine,453,23.76,24110.0,10.7978592606715,0.0,0,0,45.067757464788734,-0.2096359154929577,9.1,32953.482659355344,False,False,54.0192321824941
