rpps_structure_id,code_insee,code_insee_geo,commune,region,retail,type5,brand,owner_on_site,practitioners_topcoded_4,concurrents_10km,concurrents_20km,concurrents_30km,alternatives_10km,dist_concurrent_km,n_sites_commune,pop_10km,pop65_10km,demand65_per_site,apl_v21,entrant_commune,strate,poids,web_ok,prix_affiche,grille_tarifs,sante100,classe2,essai_gratuit,bilan_gratuit,rdv_en_ligne,devis,garantie_suivi
R10100000765950,13005,13005,Aubagne,93 - Provence-Alpes-Côte d'Azur,True,unbranded independent,,1,2,25.0,202.0,263.0,24.0,0.0,11,234685,54829.4189,2108.823803846154,99.18218585811124,False,,,,,,,,,,,,
R10100000765960,08090,08090,Carignan,44 - Grand Est,True,brand network,Sonance Audition,1,1,0.0,6.0,7.0,0.0,18.3,1,15788,3431.5511,3431.5511,37.07874826879053,True,0 | enseigne nationale,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
R10100000765971,13005,13005,Aubagne,93 - Provence-Alpes-Côte d'Azur,True,unbranded independent,,1,1,25.0,202.0,263.0,24.0,0.0,11,234685,54829.4189,2108.823803846154,99.18218585811124,False,,,,,,,,,,,,
R10100000766044,13213,13055,Marseille,,True,unbranded independent,,1,1,141.0,198.0,269.0,103.0,0.0,13,870186,169546.066,1193.98638028169,121.66758880489446,False,,,,,,,,,,,,
R10100000766048,34032,34032,Béziers,76 - Occitanie,True,unbranded independent,,1,1,19.0,38.0,68.0,14.0,0.0,16,129220,31692.490200000004,1584.62451,82.90799916527531,False,,,,,,,,,,,,
R10100000766084,13208,13055,Marseille,,True,unbranded independent,,0,1,141.0,198.0,269.0,103.0,0.0,23,870186,169546.066,1193.98638028169,78.20651189709517,False,,,,,,,,,,,,
R10100000766085,13206,13055,Marseille,,True,unbranded independent,,1,1,141.0,198.0,269.0,103.0,0.0,17,870186,169546.066,1193.98638028169,116.19906051110122,False,,,,,,,,,,,,
R10100000766216,62550,62550,Marconnelle,32 - Hauts-de-France,True,optician-hosted,Krys Audition,1,1,3.0,7.0,14.0,3.0,2.2,1,20798,5543.223899999999,1385.8059749999998,62.06191599990112,True,,,,,,,,,,,,
R10100000766218,55029,55029,Bar-le-Duc,44 - Grand Est,True,mutualist network,Écouter Voir / mutualiste,0,1,5.0,5.0,11.0,4.0,0.0,6,27917,7397.4787,1232.9131166666666,59.43222661594748,False,3-9 | mutualiste,3.8,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
R10100000766219,56260,56260,Vannes,53 - Bretagne,True,unbranded independent,,0,2,27.0,51.0,65.0,20.0,0.0,17,118750,30282.3108,1081.5111,117.28704738615475,False,,,,,,,,,,,,
