site_id,domain,web_ok,site_page_ok,domain_ok,grille_tarifs,n_pages_domaine,prix_affiche,prix_affiche_page,sante100,sante100_page,classe2,classe2_page,essai_gratuit,essai_gratuit_page,bilan_gratuit,bilan_gratuit_page,rdv_en_ligne,rdv_en_ligne_page,devis,devis_page,garantie_suivi,garantie_suivi_page,tarifs_mot,tarifs_mot_page,marques,prix_min,n_chars_total
R10100000695410,auditionsante.fr,1,1,1,1,3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,7.0,3500.0,97768
R10100000715539,magasins.ecoutervoir.fr,1,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,6480
R10100000688196,amplifon.com,1,1,1,1,3,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,,95896
R10100000768631,audilab.fr,1,1,1,0,3,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,30936
R10100000687009,audika.fr,1,1,1,1,3,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1600.0,71076
R10100000705268,opticien.optical-center.fr,1,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,65245
R10100000687657,amplifon.com,1,1,1,1,3,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,,96878
R10100000756047,audition-laura-b.fr,1,1,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,14160
R10100000721588,maneo.com,1,1,1,0,3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,,30442
R10100000712431,votreaudition-bzh.fr,1,0,1,1,1,0.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,0.0,,9964
R10100000861769,audio2000.fr,1,1,1,0,3,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,,60780
R10100000720301,doctolib.fr,1,0,1,0,0,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,,0.0,,0.0,,1.0,,0.0,,60001
R10100000843436,auditioncaladoise.com,1,0,1,0,2,0.0,,1.0,,0.0,,1.0,,0.0,,0.0,,0.0,,1.0,,1.0,,0.0,,16398
R10100000789686,auditionpereira.fr,1,1,1,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,22869
R10100000706960,entendre-saint-cyr-lecole.fr,1,1,1,0,1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,16590
R10100000797347,opticien.optic2000.com,1,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,24176
R10100000770997,krys.com,1,1,1,1,3,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,,116446
R10100000707220,entendre-le-grand-quevilly.fr,1,1,1,0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,16211
R10100000833594,vivason.fr,1,1,1,0,3,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,9.0,,60632
R10100000709560,magasins.ecoutervoir.fr,1,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,6273
R10100000698197,lecollectifdeslunetiers.fr,1,1,1,0,3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,,89488
R10100000717436,doctolib.fr,1,0,1,0,0,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,,0.0,,0.0,,1.0,,0.0,,60001
R10100000705597,audioprothesiste.solusons.fr,1,1,1,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,16156
R10000004105250,benoit-audition.fr,1,1,1,0,2,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,,29851
R10100000695902,audika.fr,1,1,1,1,3,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1600.0,70075
R10100000686814,audika.fr,1,1,1,1,3,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1600.0,69542
R10100000688162,amplifon.com,1,1,1,1,3,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,,97140
R10100000753389,audika.fr,1,1,1,1,3,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1600.0,69180
R10100000777943,auditionsante.fr,1,1,1,1,3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,7.0,3500.0,87505
R10100000701707,acoustic-center-paris.laudio.fr,1,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,9988
